-1.48918e-14	5.13992e-15	
0.273237	-0.00027702	
0.560958	-0.00476743	
0.833931	-0.0201614	
1.1054	-0.0500702	
1.37518	-0.0914081	
1.6299	-0.13229	
1.9001	-0.160843	
2.17205	-0.152981	
2.43746	-0.0894868	
2.67995	0.0376424	
2.88434	0.220204	
3.04763	0.43992	
3.17996	0.679153	
3.29759	0.925882	
3.4137	1.17337	
3.54192	1.43081	
3.67047	1.67179	
3.80075	1.91188	
3.9223	2.15727	
4.02026	2.41324	
4.08253	2.67951	
4.10479	2.95127	
4.09263	3.21568	
4.05855	3.47965	
4.01985	3.74056	
4.00211	3.91941	
3.99996	4.00226	
4.00027	4.01918	
4	4	
